cohort	strategy	contrast	gene	recovered	log2FC	padj
14-sample	STRICT	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
14-sample	R1	gBMF_vs_Ctrl	HCG11	TRUE	9.491024393471221	1.1879707445042654e-4
14-sample	R1	gBMF_vs_Ctrl	HCP5	TRUE	9.076108379918683	7.075459747094646e-7
14-sample	R1	gBMF_vs_Ctrl	SNHG32	TRUE	9.654464875535242	9.688750533185225e-5
14-sample	R1	gBMF_vs_Ctrl	PSMB8-AS1	TRUE	11.430294050076398	1.0902732480871535e-5
14-sample	R1	gBMF_vs_Ctrl	FAM30A	TRUE	5.468967017713021	0.001127880584087834
14-sample	R1	gBMF_vs_Ctrl	MIR22HG	TRUE	9.91826603270938	3.5658498299258746e-4
14-sample	R1	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.3405857873748697	0.019399639572469603
14-sample	R1	gBMF_vs_Ctrl	USP3-AS1	TRUE	2.6021452409350783	0.0010848286236053834
14-sample	R1	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	4.368353222440197	2.1191440223229367e-4
14-sample	R1	gBMF_vs_Ctrl	LINC01036	TRUE	3.2549054642933957	7.756712547517991e-4
14-sample	R1	gBMF_vs_Ctrl	MALAT1	TRUE	-6.55651030984044	1.075243240495239e-5
14-sample	R1	uBMF_vs_Ctrl	HCG11	TRUE	8.79631280382238	1.9378673608735013e-4
14-sample	R1	uBMF_vs_Ctrl	HCP5	TRUE	8.731567883916076	2.514352601083682e-7
14-sample	R1	uBMF_vs_Ctrl	SNHG32	TRUE	9.256443505362016	8.160259094608686e-5
14-sample	R1	uBMF_vs_Ctrl	PSMB8-AS1	TRUE	10.624598722320872	1.6632046815871447e-5
14-sample	R1	uBMF_vs_Ctrl	FAM30A	TRUE	5.070730353746863	0.0010423151554818557
14-sample	R1	uBMF_vs_Ctrl	MIR22HG	TRUE	10.114540578053477	8.182145385923417e-5
14-sample	R1	uBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.185599412181606	0.02055862639107829
14-sample	R1	uBMF_vs_Ctrl	USP3-AS1	TRUE	2.246304648918155	0.002446845043916443
14-sample	R1	uBMF_vs_Ctrl	TAGAP-AS1	TRUE	3.5047215985914764	0.001476136727598623
14-sample	R1	uBMF_vs_Ctrl	LINC01036	TRUE	2.784157012896382	0.0019591792764955987
14-sample	R1	uBMF_vs_Ctrl	MALAT1	TRUE	-4.1052788124969375	0.003926073787917271
14-sample	R1	gBMF_vs_uBMF	HCG11	FALSE	NA	NA
14-sample	R1	gBMF_vs_uBMF	HCP5	FALSE	NA	NA
14-sample	R1	gBMF_vs_uBMF	SNHG32	FALSE	NA	NA
14-sample	R1	gBMF_vs_uBMF	PSMB8-AS1	FALSE	NA	NA
14-sample	R1	gBMF_vs_uBMF	FAM30A	FALSE	NA	NA
14-sample	R1	gBMF_vs_uBMF	MIR22HG	FALSE	NA	NA
14-sample	R1	gBMF_vs_uBMF	ATP1A1-AS1	FALSE	NA	NA
14-sample	R1	gBMF_vs_uBMF	USP3-AS1	FALSE	NA	NA
14-sample	R1	gBMF_vs_uBMF	TAGAP-AS1	FALSE	NA	NA
14-sample	R1	gBMF_vs_uBMF	LINC01036	FALSE	NA	NA
14-sample	R1	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
14-sample	R2	gBMF_vs_Ctrl	HCG11	TRUE	9.49236554477088	1.1896597510238157e-4
14-sample	R2	gBMF_vs_Ctrl	HCP5	TRUE	9.077313375404408	6.996490544398311e-7
14-sample	R2	gBMF_vs_Ctrl	SNHG32	TRUE	9.654902674944328	9.682947507424835e-5
14-sample	R2	gBMF_vs_Ctrl	PSMB8-AS1	TRUE	11.43160481974219	1.0981187667992192e-5
14-sample	R2	gBMF_vs_Ctrl	FAM30A	TRUE	5.46979897849571	0.0011196978553472626
14-sample	R2	gBMF_vs_Ctrl	MIR22HG	TRUE	9.918973302961458	3.461613881487464e-4
14-sample	R2	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.341600399430782	0.0188853597082255
14-sample	R2	gBMF_vs_Ctrl	USP3-AS1	TRUE	2.6032333025187424	0.0010492786996965124
14-sample	R2	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	4.369708289674349	2.0930736742348733e-4
14-sample	R2	gBMF_vs_Ctrl	LINC01036	TRUE	3.2559489643106345	7.523425931075398e-4
14-sample	R2	gBMF_vs_Ctrl	MALAT1	TRUE	-6.555379384659681	1.0655569859158905e-5
14-sample	R2	uBMF_vs_Ctrl	HCG11	TRUE	8.796729052439566	1.9451974428969816e-4
14-sample	R2	uBMF_vs_Ctrl	HCP5	TRUE	8.732115182047249	2.558789476851212e-7
14-sample	R2	uBMF_vs_Ctrl	SNHG32	TRUE	9.256133256406123	8.228213819049813e-5
14-sample	R2	uBMF_vs_Ctrl	PSMB8-AS1	TRUE	10.624933737860243	1.666909022358157e-5
14-sample	R2	uBMF_vs_Ctrl	FAM30A	TRUE	5.071174788092785	0.0010360955440321738
14-sample	R2	uBMF_vs_Ctrl	MIR22HG	TRUE	10.114683731946933	8.02108419855927e-5
14-sample	R2	uBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.185868801425902	0.020057158036267893
14-sample	R2	uBMF_vs_Ctrl	USP3-AS1	TRUE	2.2465875921734035	0.002367804583444427
14-sample	R2	uBMF_vs_Ctrl	TAGAP-AS1	TRUE	3.5049743285684443	0.0014469337053888106
14-sample	R2	uBMF_vs_Ctrl	LINC01036	TRUE	2.7843447631410094	0.0019035958915368583
14-sample	R2	uBMF_vs_Ctrl	MALAT1	TRUE	-4.105222866066985	0.003862227088841749
14-sample	R2	gBMF_vs_uBMF	HCG11	FALSE	NA	NA
14-sample	R2	gBMF_vs_uBMF	HCP5	FALSE	NA	NA
