cohort	strategy	contrast	gene	recovered	log2FC	padj
17-sample	R2	uBMF_vs_Ctrl	MALAT1	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	HCG11	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	HCP5	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	SNHG32	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	PSMB8-AS1	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	FAM30A	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	MIR22HG	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	ATP1A1-AS1	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	USP3-AS1	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	TAGAP-AS1	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	LINC01036	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
17-sample	R3	gBMF_vs_Ctrl	HCG11	TRUE	9.491280022662739	1.7075420184291265e-4
17-sample	R3	gBMF_vs_Ctrl	HCP5	TRUE	9.078299871098071	3.3954596247444954e-6
17-sample	R3	gBMF_vs_Ctrl	SNHG32	TRUE	9.659953254678978	1.2113002190121144e-4
17-sample	R3	gBMF_vs_Ctrl	PSMB8-AS1	TRUE	11.430308713805328	1.5920111422108136e-5
17-sample	R3	gBMF_vs_Ctrl	FAM30A	TRUE	5.479598647601366	6.915916778429292e-4
17-sample	R3	gBMF_vs_Ctrl	MIR22HG	TRUE	9.924555253451121	7.511711142769663e-4
17-sample	R3	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.3411994363380004	0.017195741202219478
17-sample	R3	gBMF_vs_Ctrl	USP3-AS1	TRUE	2.603733714842169	8.485984547525673e-4
17-sample	R3	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	4.3682741000078975	1.4506686912857188e-4
17-sample	R3	gBMF_vs_Ctrl	LINC01036	TRUE	3.2591156941111996	0.002823396905522538
17-sample	R3	gBMF_vs_Ctrl	MALAT1	TRUE	-6.555257623446593	3.663708512649371e-4
17-sample	R3	uBMF_vs_Ctrl	HCG11	TRUE	8.793038464942114	2.5552510219553544e-4
17-sample	R3	uBMF_vs_Ctrl	HCP5	TRUE	8.727432690614263	1.1777633477048696e-6
17-sample	R3	uBMF_vs_Ctrl	SNHG32	TRUE	9.25637142368334	9.708786889665932e-5
17-sample	R3	uBMF_vs_Ctrl	PSMB8-AS1	TRUE	10.620740398100741	2.444922265633581e-5
17-sample	R3	uBMF_vs_Ctrl	FAM30A	TRUE	5.070128489686272	5.934065093049301e-4
17-sample	R3	uBMF_vs_Ctrl	MIR22HG	TRUE	10.116618284948489	1.8791215565696544e-4
17-sample	R3	uBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.1808160796400555	0.016036654424783154
17-sample	R3	uBMF_vs_Ctrl	USP3-AS1	TRUE	2.2422975207905353	0.0018645970636552108
17-sample	R3	uBMF_vs_Ctrl	TAGAP-AS1	TRUE	3.5014553729291045	0.0010322817908261504
17-sample	R3	uBMF_vs_Ctrl	LINC01036	TRUE	2.7868367985942335	0.006042108954563489
17-sample	R3	uBMF_vs_Ctrl	MALAT1	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	HCG11	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	HCP5	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	SNHG32	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	PSMB8-AS1	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	FAM30A	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	MIR22HG	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	ATP1A1-AS1	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	USP3-AS1	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	TAGAP-AS1	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	LINC01036	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
