gene	n_total	n_recovered	recovery_rate
ATP1A1-AS1	24	16	0.6666666666666666
LINC01036	24	16	0.6666666666666666
TAGAP-AS1	24	16	0.6666666666666666
USP3-AS1	24	16	0.6666666666666666
MALAT1	24	13	0.5416666666666666
FAM30A	24	12	0.5
HCG11	24	12	0.5
HCP5	24	12	0.5
MIR22HG	24	12	0.5
PSMB8-AS1	24	12	0.5
SNHG32	24	12	0.5
