EnsemblID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	GeneName	GeneType
ENSG00000168497.5	1155.1196063073423	3.00283499313145	0.6345565823703969	4.732178463761748	2.221229865185929e-6	0.03285404315235621	CAVIN2	CAVIN2	protein_coding
ENSG00000163735.7	87.06052459732382	4.630831462631298	0.985070294465889	4.701016250969341	2.588699097995184e-6	0.03285404315235621	CXCL5	CXCL5	protein_coding
ENSG00000225936.2	22.77725631028933	4.298140020659857	0.9669791824869008	4.444914739121678	8.792673089369883e-6	0.08369305880116723	SLC18A2-AS1	SLC18A2-AS1	lncRNA
ENSG00000163736.4	1329.8509179126575	2.6341496448861665	0.6224628797177137	4.231818042034491	2.3180991243781824e-5	0.11032413257696864	PPBP	PPBP	protein_coding
ENSG00000164181.14	170.62422611423406	2.4731495918182036	0.5764967620447113	4.289962675673092	1.7870314908264213e-5	0.11032413257696864	ELOVL7	ELOVL7	protein_coding
ENSG00000241945.8	50.695894175350745	-4.110243489053535	0.9659513860909666	-4.25512458311899	2.0893264874335482e-5	0.11032413257696864	PWP2	PWP2	protein_coding
ENSG00000177324.14	85.68730180784154	3.4979395862150455	0.8179176846218068	4.276640121594194	1.8973515039751973e-5	0.11032413257696864	BEND2	BEND2	protein_coding
ENSG00000243829.1	135.20099191744626	2.8271715038997476	0.6747417764598439	4.190005128677551	2.789481495808527e-5	0.11800746496823761	ENSG00000243829	ENSG00000243829	processed_pseudogene
ENSG00000206737.1	36.348787629160995	-4.72516182982372	1.1889980933491615	-3.9740701488544166	7.065473872549658e-5	0.21599260052689678	RNVU1-18	RNVU1-18	snRNA
ENSG00000156265.17	414.8560453348307	2.068043524177546	0.5217251221320759	3.963856514569019	7.374858976859952e-5	0.21599260052689678	MAP3K7CL	MAP3K7CL	protein_coding
ENSG00000230470.1	27.767859269161583	-5.066420246767499	1.2890439125445357	-3.9303705618271225	8.48150436953577e-5	0.22413881736121558	ENSG00000230470	ENSG00000230470	lncRNA
ENSG00000175746.7	19.981976876158548	4.7379762428649475	1.2210642769348248	3.8802021583650346	1.0436968072895209e-4	0.24836070150463263	LINC02915	LINC02915	lncRNA
ENSG00000233225.3	73.79886098135519	4.609961341166234	1.1995689445235533	3.8430149114915824	1.2153208160832606e-4	0.2721889691267886	SSBP3P1	SSBP3P1	processed_pseudogene
ENSG00000288801.1	23.84626336273502	-3.83373788957443	1.0054914733948743	-3.8127999998154665	1.374012957440486e-4	0.29063427411993925	ENSG00000288801	ENSG00000288801	lncRNA
ENSG00000272477.1	113.51833723483007	2.0842665808695027	0.5507741110854434	3.7842493663362538	1.5417318460253998e-4	0.29349949152785537	ENSG00000272477	ENSG00000272477	lncRNA
ENSG00000247934.4	96.96798808711117	2.1683540002344004	0.5774262063058738	3.7552053865144135	1.7319938844420415e-4	0.31401873883926806	ENSG00000247934	ENSG00000247934	lncRNA
ENSG00000289130.2	67.77933548712696	3.1951797611268016	0.8888821778935004	3.5946043700626715	3.248848889003258e-4	0.37483840181790923	ENSG00000289130	ENSG00000289130	lncRNA
ENSG00000198478.8	570.1896071699754	1.6477575326847669	0.45763353276015156	3.6006048830087947	3.1747772759952353e-4	0.37483840181790923	SH3BGRL2	SH3BGRL2	protein_coding
ENSG00000036448.10	223.89570658796927	-4.372835566806283	1.2021083488347644	-3.637638463325697	2.7514928078027656e-4	0.37483840181790923	MYOM2	MYOM2	protein_coding
ENSG00000095303.17	656.6293014454362	1.4246577090001171	0.3954871559998044	3.6022856555190423	3.15431465348277e-4	0.37483840181790923	PTGS1	PTGS1	protein_coding
ENSG00000154760.14	1486.8044768675638	-0.8277728854530616	0.22978123947223675	-3.602438943032497	3.1524546060008484e-4	0.37483840181790923	SLFN13	SLFN13	protein_coding
ENSG00000264920.4	50.505012787490394	1.5905335697817724	0.4359475584895706	3.6484516057218004	2.638255857863845e-4	0.37483840181790923	SP2-DT	SP2-DT	lncRNA
ENSG00000272682.1	7.967484931528859	5.556636446832023	1.5123085166690935	3.674274386201757	2.3852630065104003e-4	0.37483840181790923	ENSG00000272682	ENSG00000272682	lncRNA
ENSG00000260608.1	31.673456152667367	-2.8860989614722334	0.80753084237509	-3.573979853182709	3.5159599469681863e-4	0.39372546770843153	ENSG00000260608	ENSG00000260608	lncRNA
ENSG00000250334.8	146.74539311426702	2.9302842191838505	0.8288312326670022	3.53544135849565	4.070945896934408e-4	0.39611090352737616	LINC00989	LINC00989	lncRNA
ENSG00000201428.1	75.21665705728685	-2.041480936712785	0.578384590730365	-3.529625390148915	4.1614845146543695e-4	0.39611090352737616	RN7SKP71	RN7SKP71	misc_RNA
ENSG00000246223.10	272.74271167657923	1.7881141831563645	0.5030877109952702	3.5542791924272934	3.7901662659811213e-4	0.39611090352737616	LINC01550	LINC01550	lncRNA
ENSG00000222881.1	16.960786099365734	-5.304061502703371	1.4882163265530717	-3.5640393187920196	3.6519121553106067e-4	0.39611090352737616	Y_RNA	Y_RNA	misc_RNA
ENSG00000041353.10	430.91666300661774	1.7960485120631262	0.5086660538810783	3.530899100420463	4.14149699325371e-4	0.39611090352737616	RAB27B	RAB27B	protein_coding
