EnsemblID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	GeneName	GeneType
ENSG00000234338.1	49.78847961900023	-21.053963656204697	2.730613938886223	-7.71034065137465	1.2548234234725394e-14	2.1950626146805132e-10	ENSG00000234338	ENSG00000234338	processed_pseudogene
ENSG00000177731.16	1679.0631916252632	-4.374921659597169	0.7575801302936382	-5.774863258229131	7.701560474495266e-9	6.736169869017285e-5	FLII	FLII	protein_coding
ENSG00000161021.13	480.0217402428131	4.707890351718702	0.8778454673526049	5.3630058214194545	8.184836732437681e-8	4.772578298684412e-4	MAML1	MAML1	protein_coding
ENSG00000178982.10	2229.5648259943027	8.71804995925339	1.6956507122829878	5.141418510369742	2.726719140672414e-7	0.0011924624481945635	EIF3K	EIF3K	protein_coding
ENSG00000184009.13	8966.065215389433	4.535684171004262	0.9168999462725029	4.946760210253361	7.545883579114503e-7	0.002640002828989	ACTG1	ACTG1	protein_coding
ENSG00000134184.13	49.75381103958277	20.58344263863412	4.233772307418972	4.86172640946352	1.1636638250330518e-6	0.0031580584059055284	GSTM1	GSTM1	protein_coding
ENSG00000138378.19	1783.8410974359813	3.15928968301742	0.6520217352172328	4.8453747971528065	1.263728853903773e-6	0.0031580584059055284	STAT4	STAT4	protein_coding
ENSG00000007402.12	191.6194778923506	4.418302529518922	0.940406421375543	4.698290472172895	2.623481412648263e-6	0.004651107681759976	CACNA2D2	CACNA2D2	protein_coding
ENSG00000140694.18	2079.566073993389	4.368137846992978	0.9235905372079078	4.729517758159614	2.2505377017326354e-6	0.004651107681759976	PARN	PARN	protein_coding
ENSG00000237484.7	104.32346987058651	3.3656297805638022	0.7167693378759847	4.695554905483586	2.658839353890114e-6	0.004651107681759976	LINC01684	LINC01684	lncRNA
ENSG00000034053.15	665.5862699418967	3.765474345689205	0.8074832479301353	4.663222866036473	3.11295308751732e-6	0.004950444396358226	APBA2	APBA2	protein_coding
ENSG00000151623.15	505.60608612058786	2.8537471244924917	0.6262532254823916	4.556858165950844	5.192446115390939e-6	0.007569288324711141	NR3C2	NR3C2	protein_coding
ENSG00000130595.20	76.33672909527053	7.639574099990025	1.7218641347388397	4.436804243645357	9.130425450018332e-6	0.012286040953628513	TNNT3	TNNT3	protein_coding
ENSG00000211893.4	904.4366093890468	4.169302028955782	0.9588531416116656	4.348217519471135	1.3724844680741899e-5	0.017149193428587003	IGHG2	IGHG2	IG_C_gene
ENSG00000172215.6	268.35212751372717	2.905382242613129	0.6755733536394611	4.300616989940767	1.703232231035997e-5	0.0198630942783418	CXCR6	CXCR6	protein_coding
ENSG00000144290.17	194.4910502722147	3.8098042168427297	0.8942195390214593	4.26047972627816	2.0398858640241865e-5	0.02099042554080888	SLC4A10	SLC4A10	protein_coding
ENSG00000081181.8	303.43864987038353	-4.978165524984473	1.1656157727259835	-4.270846055336243	1.9473279894387715e-5	0.02099042554080888	ARG2	ARG2	protein_coding
ENSG00000177570.15	126.19726942441126	3.562059638816974	0.8412080758291555	4.2344572539986025	2.2910435726580843e-5	0.02226512512028215	SAMD12	SAMD12	protein_coding
ENSG00000179750.16	109.18880531263903	-5.5580099178737825	1.32732861022403	-4.187365415814917	2.8221126312701838e-5	0.02598274539937333	APOBEC3B	APOBEC3B	protein_coding
ENSG00000115085.15	1980.4167830545305	7.90309871766931	1.9388420753507756	4.076195177598196	4.5778598199926525e-5	0.040040250915565734	ZAP70	ZAP70	protein_coding
ENSG00000147813.16	204.5442377792126	-4.808419026259079	1.1839449069037953	-4.061353698318499	4.878898893703513e-5	0.04064122778455026	NAPRT	NAPRT	protein_coding
ENSG00000270647.7	900.0686873129935	4.66937884852199	1.16600842420985	4.0045841449955315	6.212667458063241e-5	0.04939917811086376	TAF15	TAF15	protein_coding
ENSG00000137959.17	1229.4412291340025	-3.345855857368965	0.843016142115798	-3.9689107838096094	7.22019058043579e-5	0.05491425818415794	IFI44L	IFI44L	protein_coding
ENSG00000169031.21	88.17268235780054	3.4764367305884742	0.8924433436178433	3.895414488157282	9.80309438838099e-5	0.0662888928124658	COL4A3	COL4A3	protein_coding
ENSG00000091129.22	207.5680815665797	2.4407571765934337	0.6267682499451631	3.8941940291439128	9.85257653418002e-5	0.0662888928124658	NRCAM	NRCAM	protein_coding
ENSG00000184613.11	2058.1122077336595	2.4128012846428044	0.6191808880696845	3.896763177178783	9.74868622980617e-5	0.0662888928124658	NELL2	NELL2	protein_coding
ENSG00000171817.17	198.2861378925955	2.451862176716259	0.6378869708410615	3.8437251249754323	1.2118073146921871e-4	0.07851164946633492	ZNF540	ZNF540	protein_coding
ENSG00000077935.17	56.777923271760194	-6.231808037264173	1.6255195743969961	-3.8337330016932762	1.2621313529599646e-4	0.07885165627617378	SMC1B	SMC1B	protein_coding
ENSG00000156475.19	208.1453677472115	4.119589521667423	1.0833068578331086	3.8027909561171414	1.4307507895052664e-4	0.0863038743476401	PPP2R2B	PPP2R2B	protein_coding
ENSG00000088538.13	58.24083417881701	4.461835827516675	1.1934244098438644	3.7386832301347153	1.8498664153936603e-4	0.10445359766112997	DOCK3	DOCK3	protein_coding
ENSG00000189221.11	101.62509459865706	-4.617868217626746	1.2352126362500917	-3.7385208684764235	1.8510612973732517e-4	0.10445359766112997	MAOA	MAOA	protein_coding
ENSG00000153563.17	1623.4375782547515	2.7923743558900584	0.7507546717052195	3.7194232165717005	1.9967823605609962e-4	0.1050797029724538	CD8A	CD8A	protein_coding
