gene_group	gene_symbol	gene_id	gene_type	contrast	A_baseMean	A_log2FC	A_padj	A_sig	C_baseMean	C_log2FC	C_padj	C_sig
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	PSMB8-AS1	ENSG00000204261.9	lncRNA	G-AA_vs_Control	685.1	12.65	3.09e-5	TRUE	760.1	12.65	4.65e-6	TRUE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	PSMB8-AS1	ENSG00000204261.9	lncRNA	U-AA_vs_Control	685.1	11.93	2.71e-5	TRUE	760.1	11.92	4.37e-6	TRUE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	PSMB8-AS1	ENSG00000204261.9	lncRNA	G-AA_vs_U-AA	685.1	0.72	0.948	FALSE	760.1	0.73	0.953	FALSE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	TAGAP-AS1	ENSG00000271913.9	lncRNA	G-AA_vs_Control	50.7	0.58	0.79	FALSE	64.2	0.58	0.779	FALSE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	TAGAP-AS1	ENSG00000271913.9	lncRNA	U-AA_vs_Control	50.7	-0.27	0.941	FALSE	64.2	-0.28	0.939	FALSE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	TAGAP-AS1	ENSG00000271913.9	lncRNA	G-AA_vs_U-AA	50.7	0.85	0.807	FALSE	64.2	0.86	0.942	FALSE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	MALAT1	ENSG00000251562.11	lncRNA	G-AA_vs_Control	350917.6	-0.63	0.411	FALSE	367146.1	-0.63	0.387	FALSE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	MALAT1	ENSG00000251562.11	lncRNA	U-AA_vs_Control	350917.6	-0.34	0.776	FALSE	367146.1	-0.34	0.768	FALSE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	MALAT1	ENSG00000251562.11	lncRNA	G-AA_vs_U-AA	350917.6	-0.29	0.872	FALSE	367146.1	-0.29	0.942	FALSE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	FAM30A	ENSG00000226777.9	lncRNA	G-AA_vs_Control	580.7	5.6	0.00137	TRUE	684.2	5.61	4.37e-4	TRUE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	FAM30A	ENSG00000226777.9	lncRNA	U-AA_vs_Control	580.7	5.19	0.00116	TRUE	684.2	5.18	3.73e-4	TRUE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	FAM30A	ENSG00000226777.9	lncRNA	G-AA_vs_U-AA	580.7	0.42	0.957	FALSE	684.2	0.43	0.959	FALSE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	USP3-AS1	ENSG00000259248.7	lncRNA	G-AA_vs_Control	132.3	0.16	0.936	FALSE	124.7	0.16	0.937	FALSE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	USP3-AS1	ENSG00000259248.7	lncRNA	U-AA_vs_Control	132.3	-0.11	0.972	FALSE	124.7	-0.11	0.974	FALSE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	USP3-AS1	ENSG00000259248.7	lncRNA	G-AA_vs_U-AA	132.3	0.27	0.953	FALSE	124.7	0.27	0.958	FALSE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	MIR22HG	ENSG00000186594.16	lncRNA	G-AA_vs_Control	736.7	9.95	2.16e-5	TRUE	907.6	9.94	5.74e-6	TRUE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	MIR22HG	ENSG00000186594.16	lncRNA	U-AA_vs_Control	736.7	10.15	3.15e-6	TRUE	907.6	10.13	7.19e-7	TRUE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	MIR22HG	ENSG00000186594.16	lncRNA	G-AA_vs_U-AA	736.7	-0.2	0.985	FALSE	907.6	-0.19	0.988	FALSE
RT-qPCR validated 3 (key biomarkers)	ATP1A1-AS1	ENSG00000203865.13	lncRNA	G-AA_vs_Control	107.3	0.22	0.832	FALSE	112.8	0.22	0.831	FALSE
